,Date,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
243,2019-09-08,15.0,1.5499999523162842,2.0199999809265137,1506.199951171875,56.52000045776367,1.1036310195922852,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
244,2019-09-15,13.739999771118164,1.902999997138977,2.378000020980835,1490.9000244140625,54.84999847412109,1.1058276891708374,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
245,2019-09-22,15.31999969482422,1.7549999952316284,2.1989998817443848,1507.300048828125,58.09000015258789,1.1048502922058103,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
246,2019-09-29,17.219999313354492,1.6749999523162842,2.124000072479248,1499.0999755859375,55.90999984741211,1.0922753810882568,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
247,2019-10-06,17.040000915527344,1.5149999856948853,2.015000104904175,1506.199951171875,52.810001373291016,1.0975382328033447,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
248,2019-10-13,15.579999923706056,1.7519999742507937,2.2149999141693115,1482.699951171875,54.70000076293945,1.1011033058166504,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
249,2019-10-20,14.25,1.746999979019165,2.246000051498413,1488.199951171875,53.77999877929688,1.1127183437347412,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
250,2019-10-27,12.649999618530272,1.8009999990463257,2.2920000553131104,1499.5,56.65999984741211,1.1103955507278442,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
251,2019-11-03,12.300000190734863,1.7280000448226929,2.211999893188477,1508.0,56.20000076293945,1.1157102584838867,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
252,2019-11-10,12.06999969482422,1.932999968528748,2.4170000553131104,1461.300048828125,57.2400016784668,1.1019697189331057,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
