Date,Time,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
4/17/2016,13:20,-0.472259,-0.20198192,-0.025049955,-0.78404075,-0.5604611,0.17251483,-0.9432076,-0.1654786,-0.7836297,-0.851634,-1.0424109,0.07905238,-0.26622126,-0.46074513
4/24/2016,14:20,-0.44501898,-0.25831023,0.092794865,-0.69986725,-0.553697,0.53119576,-0.96522,-0.076311916,-0.6427135,-0.91876185,-1.0290694,0.18220827,-0.36971918,-0.5096505
5/1/2016,15:20,-0.45655006,-0.4078124,0.1303961,-0.72280204,-0.67718786,0.29344326,-1.0645345,-0.08227769,-0.57259154,-0.8781357,-1.1039655,-0.01097515,-0.2859867,-0.54944074
5/8/2016,16:20,-0.23879328,-0.31236166,-0.14847273,-0.6660733,-0.52559614,0.3614029,-0.8116156,-0.15794179,-0.7714112,-0.7979505,-0.81908077,0.02895418,-0.4399129,-0.41773775
5/15/2016,17:20,-0.35461164,-0.31309682,-0.09393764,-0.5762044,-0.4948489,0.34399733,-0.7602892,-0.12757196,-0.7700475,-0.92105293,-0.72307616,-0.019951073,-0.34080675,-0.5573583
5/22/2016,18:20,-0.3530269,-0.24773246,-0.05343306,-0.5360148,-0.5049587,0.3841682,-0.9035666,-0.13169402,-0.7667885,-0.8919755,-0.8323769,-0.07819201,-0.16301629,-0.47296065
5/29/2016,19:20,-0.3086376,-0.21613427,-0.13298286,-0.53804004,-0.75928956,0.36502078,-0.9049219,-0.13794312,-0.6521266,-0.87899685,-0.86349577,-0.10827225,-0.34343097,-0.47690496
6/5/2016,20:20,-0.3206772,-0.35705453,-0.077643596,-0.58977354,-0.6067945,0.332857,-0.95971453,0.021179765,-0.68686414,-0.78680956,-1.0302914,-0.08354116,-0.2787518,-0.3308955
6/12/2016,21:20,-0.37338457,-0.22360872,-0.0868713,-0.48321778,-0.71789914,0.5939006,-0.86318564,0.011793472,-0.6997706,-0.8778596,-0.92519706,-0.10671254,-0.47003677,-0.579923
6/19/2016,22:20,-0.43622673,-0.50703466,-0.27601683,-0.5441523,-0.657294,0.30785382,-1.0110438,-0.106131725,-0.6098466,-0.9096483,-0.96831006,-0.20840171,-0.41531876,-0.52111876
6/26/2016,23:20,-0.42280507,-0.19869687,-0.095057786,-0.54510033,-0.61945325,0.23763022,-0.80736303,-0.12535194,-0.72544056,-0.7687391,-0.8694866,-0.08880381,-0.33276168,-0.39211828
7/3/2016,0:20,-0.24984427,-0.32349423,-0.007234714,-0.31600153,-0.72753876,0.43927443,-0.7291659,0.15631989,-0.6762594,-0.8490871,-0.7455772,-0.21753852,-0.31848535,-0.46699995
7/10/2016,1:20,-0.40902165,-0.41766486,-0.08549927,-0.5580231,-0.69358397,0.25496057,-0.9194927,0.13495144,-0.58096653,-0.8926716,-0.8195142,-0.26330665,-0.35781965,-0.41986188
7/17/2016,2:20,-0.17750558,-0.3183296,-0.29219067,-0.29358494,-0.69891787,0.42287618,-0.65733767,0.08169341,-0.6044172,-0.7251549,-0.5795219,-0.3657813,-0.40303653,-0.4730203
